City,Lat,Lng,Temp,Wind Speed,Humidity,Cloudiness,Description,Country
Bethel,60.7922,-161.7559,29.28,5.82,100,90,mist,US
Rikitea,-23.1203,-134.9692,80.82,14.0,99,0,Sky is Clear,PF
Palana,59.0828,159.9513,1.8,0.36,77,80,broken clouds,RU
Burns Lake,54.2332,-125.7638,27.59,2.37,67,12,few clouds,CA
Bapatla,15.9,80.4667,61.52,3.71,90,32,scattered clouds,IN
Chicama,-7.8435,-79.1452,77.0,5.82,69,90,haze,PE
Pevek,69.7028,170.2747,-23.22,4.5,100,0,Sky is Clear,RU
San Patricio,-26.9767,-56.8274,83.84,4.61,61,8,sky is clear,PY
Quatre Cocos,-20.2078,57.7625,77.0,4.7,88,75,broken clouds,MU
Pucara,-21.6984,-64.2048,68.0,1.14,77,75,broken clouds,BO
Hofn,64.2539,-15.2082,28.31,17.36,100,64,broken clouds,IS
Praia da Vitoria,38.7333,-27.0667,55.4,1.7,87,75,broken clouds,PT
Mecca,21.426,39.8297,60.53,3.04,91,0,Sky is Clear,SA
Matamoros,25.8705,-97.5067,63.95,6.93,81,1,sky is clear,US
Hilo,19.7072,-155.0817,75.02,21.92,51,1,sky is clear,US
Aklavik,68.2183,-135.0136,6.8,4.7,77,75,broken clouds,CA
Wufeng,24.633,121.1193,66.18,14.99,72,20,few clouds,TW
Mar del Plata,-46.4276,-67.5191,70.88,26.64,33,0,Sky is Clear,AR
Monte Patria,-30.6945,-70.958,64.49,1.48,85,36,scattered clouds,CL
Batagay-Alyta,67.8006,130.4114,-43.65,2.37,0,48,scattered clouds,RU
Karratha,-20.7371,116.8479,81.72,3.83,71,0,Sky is Clear,AU
Port Alfred,-33.5906,26.891,73.08,20.83,79,0,Sky is Clear,ZA
East London,-33.0153,27.9116,72.72,27.65,89,32,scattered clouds,ZA
Boden,65.827,21.693,10.4,2.24,85,90,overcast clouds,SE
Bredasdorp,-34.5331,20.0428,71.6,3.36,83,0,Sky is Clear,ZA
Quthing,-30.4001,27.7003,50.22,2.15,96,0,Sky is Clear,LS
Cherskiy,68.75,161.3,-29.52,4.94,48,0,Sky is Clear,RU
Vaini,15.336,74.4926,60.8,6.93,93,40,scattered clouds,IN
Ahmadpur,18.7041,76.9351,44.24,5.17,78,0,Sky is Clear,IN
Verkh-Usugli,52.7,115.1667,-3.92,7.74,47,0,Sky is Clear,RU
Namatanai,-3.6642,152.4407,84.02,11.21,99,24,few clouds,PG
La Asuncion,-1.6374,-78.7389,50.36,0.47,93,68,moderate rain,EC
Lewistown,40.3931,-90.1549,10.2,23.04,70,75,light snow,US
Talladega,33.4359,-86.1059,53.87,6.51,54,75,broken clouds,US
Pokhara,28.2095,83.9914,33.89,3.38,80,64,broken clouds,NP
Capitan Bado,-23.2667,-55.5334,80.42,7.18,57,32,scattered clouds,PY
Bonfim,-20.3269,-44.2386,78.8,9.17,50,0,Sky is Clear,BR
Oranjemund,-28.552,16.4284,62.28,14.23,92,92,light rain,ZA
Barrow,-38.3131,-60.2291,78.26,7.74,72,0,Sky is Clear,AR
Luderitz,-26.6481,15.1594,60.57,2.04,98,80,broken clouds,NA
Saint George,39.4548,22.34,41.0,3.36,93,20,few clouds,GR
Atar,20.5183,-13.0544,56.25,7.85,41,0,Sky is Clear,MR
Thompson,55.7433,-97.8635,-29.21,11.41,60,90,light snow,CA
Shibetsu,44.1493,142.4634,23.0,20.8,79,75,broken clouds,JP
Yumen,40.2917,97.0449,2.84,5.95,71,12,few clouds,CN
Kapaa,22.0752,-159.319,76.08,25.28,49,40,scattered clouds,US
Ahipara,-35.1665,173.1562,77.58,13.89,64,0,Sky is Clear,NZ
Tuktoyaktuk,69.444,-133.032,5.0,10.29,77,75,broken clouds,CA
Lebu,8.9611,38.7254,53.6,9.17,58,0,Sky is Clear,ET
Ponta do Sol,-20.6335,-45.9989,72.32,3.15,80,36,light rain,BR
Monrovia,6.328,-10.7978,75.2,3.36,94,20,few clouds,LR
Lannion,48.7323,-3.459,41.0,2.24,93,90,overcast clouds,FR
Port Hawkesbury,45.6181,-61.3575,17.6,11.41,72,1,sky is clear,CA
Atuona,-9.8,-139.0334,80.33,18.25,100,80,broken clouds,PF
Ahuimanu,21.4447,-157.8378,75.49,23.04,59,75,broken clouds,US
Conde,-11.813,-37.6139,77.13,7.52,100,80,light rain,BR
Arraial do Cabo,-22.9663,-42.0245,78.8,10.29,78,0,Sky is Clear,BR
Kinsale,51.7057,-8.523,39.2,6.93,86,75,broken clouds,IE
Mahebourg,-20.4081,57.7,77.0,4.7,88,75,broken clouds,MU
Soderhamn,61.3037,17.0592,28.8,3.71,95,92,overcast clouds,SE
Khatanga,71.9801,102.4743,-32.13,2.82,56,48,scattered clouds,RU
Nome,30.0358,-94.4244,57.92,3.36,70,1,sky is clear,US
Paamiut,61.994,-49.6678,24.44,7.18,100,48,scattered clouds,GL
Sibolga,1.737,98.7846,68.99,1.14,100,20,few clouds,ID
Jackville,5.2077,-4.4196,80.6,4.7,94,0,Sky is Clear,CI
Narsaq,60.9127,-46.0453,10.4,11.41,46,0,Sky is Clear,GL
Normandin,48.8372,-72.5297,-23.81,4.72,67,5,sky is clear,CA
Vanino,53.9325,40.5523,21.11,8.3,91,88,overcast clouds,RU
Golpayegan,33.4565,50.2883,46.13,12.77,52,8,sky is clear,IR
Shimoda,34.701,138.9287,47.23,10.29,21,20,few clouds,JP
Deputatskiy,69.3,139.9,-35.82,5.06,64,64,broken clouds,RU
Pisco,-13.71,-76.203,75.2,9.17,94,75,broken clouds,PE
Naze,5.4333,7.0667,73.62,4.05,95,12,few clouds,NG
Butaritari,3.0707,172.7902,83.66,17.25,100,76,light rain,KI
Sokoto,13.0611,5.2373,62.42,3.83,47,0,Sky is Clear,NG
Jiayuguan,39.7722,98.2885,-15.93,1.92,36,0,Sky is Clear,CN
Ukiah,39.1502,-123.2078,64.94,1.92,54,1,sky is clear,US
Tiksi,71.6366,128.8685,-39.2,3.04,82,32,scattered clouds,RU
Sassandra,4.9519,-6.0886,81.77,10.2,100,8,sky is clear,CI
Kutum,14.2031,24.6617,56.43,6.73,41,0,Sky is Clear,SD
Smidovich,48.5957,133.8138,-5.27,2.26,56,0,Sky is Clear,RU
Beringovskiy,63.05,179.3167,4.05,3.49,99,36,scattered clouds,RU
Havre-Saint-Pierre,50.2334,-63.5987,-2.21,16.11,58,40,scattered clouds,CA
Champerico,16.3758,-93.5989,77.0,4.7,47,5,sky is clear,MX
Yantikovo,55.5164,47.7806,14.0,6.71,85,75,broken clouds,RU
Anloga,5.7947,0.8973,82.4,9.17,83,20,few clouds,GH
Patrasaer,23.1998,87.5324,59.18,11.32,69,92,overcast clouds,IN
Mareeba,-16.9916,145.4227,78.8,11.41,100,90,light intensity shower rain,AU
Nikolskoye,59.7035,30.7861,12.2,8.95,85,75,light snow,RU
Lompoc,34.6392,-120.458,60.98,10.29,86,90,overcast clouds,US
Ribeira Grande,38.5167,-28.7001,59.81,5.39,100,64,broken clouds,PT
Ostrovnoy,68.0544,39.5129,-4.68,10.76,79,0,Sky is Clear,RU
Snyder,32.7179,-100.9177,44.19,19.46,33,75,broken clouds,US
Xuddur,4.1213,43.8894,70.61,12.21,71,0,Sky is Clear,SO
Bobrovka,52.3032,45.5391,9.72,6.96,88,92,overcast clouds,RU
Puerto Ayora,-0.7394,-90.3518,84.2,11.41,70,20,few clouds,EC
Athabasca,54.7215,-113.2858,10.58,7.96,69,0,Sky is Clear,CA
Tabas,33.596,56.9247,55.4,2.24,39,48,scattered clouds,IR
Geraldton,49.7189,-86.9494,-18.41,6.93,61,75,broken clouds,CA
Grindavik,63.8424,-22.4338,23.0,8.05,73,0,Sky is Clear,IS
Norman Wells,65.2824,-126.8328,3.2,5.82,77,75,broken clouds,CA
Falam,22.9139,93.679,49.19,0.69,97,0,light rain,MM
Forbes,-33.3843,148.0097,85.64,12.77,77,0,Sky is Clear,AU
Koumac,-20.5614,164.2812,82.31,7.96,70,48,scattered clouds,NC
Kavieng,-2.5745,150.7967,84.65,6.85,100,24,few clouds,PG
Portland,45.5202,-122.6742,50.27,16.11,37,75,broken clouds,US
Baykit,61.6784,96.3854,-13.01,7.96,58,44,scattered clouds,RU
Port Augusta,-32.4909,137.764,78.8,9.17,54,0,Sky is Clear,AU
Ugoofaaru,5.6667,73.0,81.9,9.64,100,36,scattered clouds,MV
Vila Velha,-3.7125,-38.6045,80.6,5.82,83,20,few clouds,BR
Churapcha,62.0025,132.4325,-31.68,2.71,53,48,scattered clouds,RU
Fortuna,38.1801,-1.126,56.3,12.75,47,0,Sky is Clear,ES
Saskylakh,71.965,114.0939,-38.97,3.15,82,36,scattered clouds,RU
Tura,25.5174,90.2067,57.38,3.71,71,100,overcast clouds,IN
Puerto Escondido,15.8624,-97.0717,80.6,14.23,74,5,sky is clear,MX
Abbeville,50.1061,1.8337,30.2,8.05,86,20,few clouds,FR
Castro,-42.4824,-73.7644,57.2,5.82,82,75,broken clouds,CL
Cidreira,-30.1658,-50.2184,76.37,6.96,89,48,light rain,BR
Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.4,4.47,62,20,few clouds,RU
Kruisfontein,-34.0034,24.7314,68.0,13.22,82,0,Sky is Clear,ZA
Aripuana,-9.1667,-60.6334,76.32,1.48,95,56,broken clouds,BR
Bilma,18.6929,12.9187,42.3,0.58,54,0,Sky is Clear,NE
Berlevag,70.8578,29.0864,-4.32,6.73,100,0,Sky is Clear,NO
Quelimane,-17.8776,36.8902,72.41,4.5,84,8,sky is clear,MZ
Jinchang,38.5207,102.186,-3.6,2.15,41,20,few clouds,CN
Hisar,29.1563,75.7292,42.62,4.16,88,0,Sky is Clear,IN
Dharchula,29.85,80.5333,16.88,2.15,62,0,Sky is Clear,IN
Yar-Sale,66.8333,70.8333,-7.07,4.16,91,76,broken clouds,RU
Mwinilunga,-11.7315,24.426,64.22,3.83,98,76,broken clouds,ZM
Port Lincoln,-34.7212,135.8592,71.82,5.17,81,0,Sky is Clear,AU
Bud,62.9088,6.9145,30.25,4.7,92,90,light snow,NO
Gat,14.6934,-16.5351,72.46,16.11,52,0,Sky is Clear,SN
Jumla,29.2754,82.1825,15.35,1.48,100,24,few clouds,NP
Sabla,12.7525,4.7077,65.7,4.61,47,0,Sky is Clear,NG
Sakmara,51.9846,55.3334,10.4,15.66,78,90,light snow,RU
Faanui,-16.4834,-151.75,80.1,22.84,100,48,light rain,PF
Cayenne,4.9371,-52.3259,77.0,2.24,88,75,broken clouds,GF
Kortkeros,61.8149,51.5607,-7.61,2.24,83,75,broken clouds,RU
Inhambane,-23.866,35.3844,74.84,10.31,94,20,few clouds,MZ
Inuvik,68.3583,-133.7065,6.8,4.7,77,75,broken clouds,CA
Mirabela,-16.2548,-44.164,67.46,4.72,92,32,light rain,BR
Sao Joao da Barra,-21.6403,-41.0512,81.27,14.45,96,0,Sky is Clear,BR
Makarov,48.6243,142.7814,6.89,3.6,94,20,few clouds,RU
Kisangani,0.5184,25.2057,73.08,3.83,98,56,broken clouds,CD
Necochea,-38.5473,-58.7368,72.27,4.83,75,0,Sky is Clear,AR
Tsaratanana,-16.7965,47.6515,69.71,6.4,93,32,scattered clouds,MG
Hasaki,35.7333,140.8333,42.8,20.8,38,20,few clouds,JP
Chivilcoy,-34.8968,-60.0192,82.4,4.38,80,44,light rain,AR
Pacific Grove,36.6174,-121.9156,61.05,6.51,83,1,sky is clear,US
Bida,9.0833,6.0167,80.55,4.61,50,48,scattered clouds,NG
Nelson Bay,-32.7219,152.1441,91.4,17.22,43,0,Sky is Clear,AU
San Vicente,13.6433,-88.7837,77.0,4.7,65,0,Sky is Clear,SV
Riberalta,-10.9974,-66.0752,78.17,3.38,83,68,broken clouds,BO
Pascagoula,30.3658,-88.5562,51.73,6.4,83,1,sky is clear,US
Amapa,15.0877,-87.9726,69.8,4.7,77,20,few clouds,HN
Saint-Philippe,45.3584,-73.4791,-3.64,8.05,58,1,sky is clear,CA
Namibe,-15.1902,12.1531,74.21,2.48,100,0,Sky is Clear,AO
Georgetown,6.8026,-58.1629,73.4,4.7,100,0,Sky is Clear,GY
Trelew,-43.2532,-65.3095,86.13,10.65,21,0,Sky is Clear,AR
Paris,48.8566,2.3515,29.97,2.24,85,0,Sky is Clear,FR
Krasnovishersk,60.4018,57.0767,9.45,6.62,83,92,overcast clouds,RU
Nara,34.6845,135.8048,41.9,8.05,52,75,broken clouds,JP
Emmett,43.8735,-116.4994,39.85,3.36,69,1,sky is clear,US
Nhulunbuy,-12.1805,136.776,87.8,13.87,74,75,broken clouds,AU
Kalianget,-7.3459,109.9109,77.0,2.24,94,40,light rain,ID
Dunedin,-45.874,170.5035,71.69,3.15,85,36,scattered clouds,NZ
Deming,32.2687,-107.7587,53.91,5.82,16,1,sky is clear,US
Bonavista,48.6542,-53.1104,30.87,8.86,90,12,few clouds,CA
Agadez,16.9726,7.9907,51.35,7.96,35,0,Sky is Clear,NE
Batagay,67.6549,134.6351,-56.03,2.93,0,32,scattered clouds,RU
Nanortalik,60.1432,-45.2372,25.25,14.67,100,0,Sky is Clear,GL
Lavrentiya,65.5842,-170.989,6.35,8.97,82,0,Sky is Clear,RU
Kargasok,59.0598,80.8709,5.09,11.21,69,76,broken clouds,RU
Belogorsk,45.0584,34.595,29.3,4.5,100,44,scattered clouds,UA
Puerto El Triunfo,13.2748,-88.5472,78.8,4.7,65,0,Sky is Clear,SV
Suihua,46.642,126.987,3.56,12.88,64,20,few clouds,CN
Isla Mujeres,21.2311,-86.7311,66.2,2.24,82,20,few clouds,MX
Aykhal,65.9451,111.5081,-33.8,3.49,57,56,broken clouds,RU
San Quintin,17.5427,120.5203,64.85,5.17,73,0,Sky is Clear,PH
Longyearbyen,78.2198,15.6349,23.0,13.87,67,75,light snow,NO
Rio Grande,-32.0335,-52.0992,75.65,5.95,96,64,light rain,BR
Dingle,11.0001,122.6718,74.97,15.79,66,8,sky is clear,PH
Chuy,-33.6938,-53.4562,76.46,4.5,93,48,light rain,UY
Ancud,-41.8682,-73.8288,57.2,5.82,82,75,broken clouds,CL
Abashiri,44.0079,144.2487,26.6,16.11,86,75,light shower snow,JP
Mezen,65.8522,44.24,6.03,6.06,74,56,broken clouds,RU
Port Macquarie,-31.43,152.9104,89.6,18.34,38,0,Sky is Clear,AU
Clyde River,70.4692,-68.5915,-9.41,9.17,76,90,overcast clouds,CA
Torbay,47.6577,-52.727,35.6,14.99,100,90,fog,CA
Ciawi,-6.6978,108.4377,78.98,10.42,100,80,broken clouds,ID
Acari,-6.4365,-36.6395,75.2,7.74,77,48,scattered clouds,BR
Kudahuvadhoo,2.6708,72.8944,80.96,10.76,100,8,sky is clear,MV
Ossora,59.2353,163.0719,27.95,18.03,96,92,overcast clouds,RU
Esso,55.9282,158.7044,2.57,2.59,83,68,broken clouds,RU
Nangong,37.3581,115.3744,27.59,8.75,78,24,few clouds,CN
Warrington,53.3899,-2.5944,34.07,6.93,86,75,light rain,GB
Klaksvik,62.2266,-6.5891,32.0,6.93,100,88,light rain,FO
Saint-Francois,46.4154,3.9054,30.2,3.36,86,20,few clouds,FR
Waipawa,-39.9412,176.5913,79.43,9.98,63,0,Sky is Clear,NZ
Valparaiso,41.4731,-87.0612,16.38,23.04,67,90,light snow,US
Hobyo,5.3505,48.5268,74.39,17.02,86,0,Sky is Clear,SO
Almeirim,39.2106,-8.6331,53.6,6.93,93,40,scattered clouds,PT
Labuhan,-2.5409,115.5092,76.37,2.48,91,88,light rain,ID
Ouallam,14.3158,2.0848,59.85,7.52,24,0,Sky is Clear,NE
Watsa,3.0399,29.5328,74.21,3.27,65,88,overcast clouds,CD
Svobodnyy,53.8468,40.5344,21.11,8.3,91,88,overcast clouds,RU
Moron,10.4915,-68.1975,72.63,2.93,74,8,sky is clear,VE
Saubara,-12.7373,-38.7663,75.65,4.94,88,68,light rain,BR
Pangody,65.85,74.4859,-8.51,6.51,65,80,broken clouds,RU
Margate,-43.0274,147.2623,82.4,12.75,55,0,Sky is Clear,AU
Numaligarh,26.6329,93.7272,52.52,1.92,96,92,overcast clouds,IN
Kloulklubed,7.0419,134.2556,84.2,10.29,74,75,broken clouds,PW
Tvoroyri,61.5556,-6.8111,32.0,6.93,100,64,broken clouds,FO
Kavaratti,10.5669,72.642,80.24,2.71,100,0,Sky is Clear,IN
Pueblo Nuevo,23.9909,-106.9557,77.67,3.71,41,32,scattered clouds,MX
Severo-Kurilsk,50.6789,156.125,26.55,25.97,100,0,Sky is Clear,RU
Svirstroy,60.7999,33.7248,10.04,8.3,82,68,broken clouds,RU
Skjervoy,70.0311,20.9714,17.6,14.45,100,36,scattered clouds,NO
Westport,53.8001,-9.5203,42.08,13.44,100,80,light rain,IE
Los Llanos de Aridane,28.6585,-17.9183,62.6,12.75,63,8,sky is clear,ES
Merauke,-8.4903,140.3956,78.48,18.81,100,92,moderate rain,ID
Doha,25.2856,51.5264,67.96,2.24,88,76,haze,QA
Santa Cruz,36.9742,-122.0298,61.38,3.36,80,1,sky is clear,US
Moerai,-22.4334,-151.3334,77.81,26.19,100,92,light rain,PF
Orikum,40.326,19.4741,54.41,6.17,100,64,light rain,AL
Angoche,-16.2293,39.9081,81.23,12.33,100,68,broken clouds,MZ
Kununurra,-15.7731,128.7388,91.4,13.87,55,88,overcast clouds,AU
Mana,43.5213,20.2353,32.0,2.15,76,40,fog,RS
Pundaguitan,6.3711,126.1689,77.18,12.33,100,100,light rain,PH
Gemena,3.2549,19.7751,72.77,3.15,89,12,few clouds,CD
Gueugnon,46.6005,4.0634,30.2,3.36,86,20,few clouds,FR
Kieta,-6.2167,155.6333,84.47,2.82,95,32,scattered clouds,PG
Srednekolymsk,67.4555,153.7071,-33.75,2.48,61,0,Sky is Clear,RU
Sur,22.5702,59.5299,67.95,10.76,100,8,sky is clear,OM
Esperance,10.2447,-61.4506,75.2,3.36,88,20,few clouds,TT
Misawa,40.75,141.3829,33.8,6.93,64,75,broken clouds,JP
Omboue,-1.5747,9.2618,82.13,6.17,100,92,light rain,GA
Iqaluit,63.7494,-68.5219,-11.21,17.22,69,40,scattered clouds,CA
Atasu,48.6814,71.6433,-2.66,14.23,59,0,Sky is Clear,KZ
Velingara,13.6371,-16.0079,77.0,7.18,47,0,Sky is Clear,SN
Aden,12.7896,45.0285,77.22,23.29,97,12,few clouds,YE
Qaqortoq,60.7167,-46.0334,10.4,11.41,46,0,Sky is Clear,GL
Sovetskiy,56.763,48.4743,-0.72,6.85,78,0,Sky is Clear,RU
Simpang,4.8185,100.7064,78.87,1.12,94,75,broken clouds,MY
Hovd,63.8339,10.6972,24.8,20.8,73,75,proximity shower rain,NO
Ixtapa,20.715,-105.2067,75.2,6.93,78,40,scattered clouds,MX
Bira,49.0016,132.4662,-8.15,2.71,60,12,few clouds,RU
Rauma,61.1289,21.5039,19.4,12.75,85,92,light snow,FI
Alekseyevsk,57.8406,108.3492,-4.46,7.52,51,32,scattered clouds,RU
Saint-Michel-des-Saints,46.6786,-73.9177,-9.41,4.61,49,12,few clouds,CA
Poum,41.2813,20.7117,37.22,1.59,100,92,light rain,MK
Tasiilaq,65.6145,-37.6368,21.2,10.29,73,80,broken clouds,GL
Pochutla,15.7432,-96.4661,79.81,7.63,78,75,broken clouds,MX
Baruun-Urt,46.6808,113.2846,-0.63,8.63,69,56,broken clouds,MN
Vydrino,51.4634,104.6426,-2.52,6.73,69,36,scattered clouds,RU
Bambous Virieux,-20.3428,57.7575,77.0,4.7,88,75,broken clouds,MU
Itarema,-2.9248,-39.9167,77.99,10.2,88,0,Sky is Clear,BR
Angoram,-4.0563,144.0729,80.15,3.04,88,68,broken clouds,PG
Rabat,34.0224,-6.8346,52.61,2.24,81,40,scattered clouds,MA
Eyl,7.9808,49.8184,75.29,15.35,93,56,broken clouds,SO
Micheweni,-4.9667,39.8333,81.0,10.76,100,56,broken clouds,TZ
Rawson,-43.2992,-65.1057,86.13,10.65,21,0,Sky is Clear,AR
Katsuura,33.9258,134.505,41.83,16.11,52,40,scattered clouds,JP
Mount Isa,-20.729,139.4932,82.4,10.29,74,75,broken clouds,AU
Santiago de Cao,-7.9605,-79.2381,77.0,5.82,69,90,haze,PE
Okhotsk,59.3644,143.2411,-24.17,7.63,100,0,Sky is Clear,RU
Bismarck,46.8083,-100.7838,6.62,16.11,65,20,few clouds,US
Villamontes,-21.2587,-63.4727,75.11,2.93,82,0,Sky is Clear,BO
Ucluelet,48.9414,-125.5491,41.4,2.59,85,48,scattered clouds,CA
Haines Junction,60.7527,-137.5101,4.77,2.15,77,36,scattered clouds,CA
Campobasso,41.5598,14.6603,31.01,1.25,90,36,scattered clouds,IT
Oriximina,-1.7656,-55.8662,78.8,4.61,87,44,scattered clouds,BR
Hualmay,-11.0968,-77.613,72.95,3.49,78,48,scattered clouds,PE
Tariba,7.8188,-72.2243,82.4,3.36,69,40,scattered clouds,VE
Alta Floresta,-9.8716,-56.084,72.0,2.37,98,68,moderate rain,BR
Klyuchi,52.2549,79.1714,-23.63,7.4,36,0,Sky is Clear,RU
Chegdomyn,51.1345,133.0356,-15.48,3.94,64,32,scattered clouds,RU
Whitehorse,60.7216,-135.055,12.2,28.86,85,75,broken clouds,CA
Arica,-18.4786,-70.3211,74.1,2.24,73,0,Sky is Clear,CL
Sorland,67.667,12.6934,32.18,20.71,100,64,broken clouds,NO
Yarada,17.65,83.2667,69.8,8.05,64,20,haze,IN
Kropotkin,45.4344,40.575,32.27,3.38,100,88,overcast clouds,RU
Sidi Ali,36.0998,0.4206,50.81,7.74,77,48,scattered clouds,DZ
Kahului,20.8894,-156.4728,73.94,23.04,46,40,scattered clouds,US
Punta Alta,-27.4624,-55.8245,86.0,5.82,62,64,broken clouds,AR
Beloha,-25.1739,45.0615,72.05,14.45,67,64,broken clouds,MG
Tabuk,17.4136,121.444,58.64,1.25,94,76,broken clouds,PH
Te Anau,-45.4145,167.7175,66.92,3.83,71,68,broken clouds,NZ
Derzhavinsk,51.0991,66.3139,0.9,16.02,72,64,broken clouds,KZ
Cockburn Town,21.4612,-71.1419,78.89,11.65,98,12,few clouds,TC
Anda,46.4114,125.3286,10.35,15.46,60,32,scattered clouds,CN
Zhoucheng,31.3538,119.3274,41.0,6.71,86,90,mist,CN
Codrington,-28.9484,153.2428,88.36,10.29,38,40,scattered clouds,AU
Galveston,40.5789,-86.1903,18.41,19.46,92,90,light snow,US
Alofi,-19.0596,-169.9187,84.2,10.29,58,40,scattered clouds,NU
Bereda,43.2686,-7.5406,50.0,8.05,81,92,light rain,ES
Hambantota,6.1241,81.1185,69.8,5.82,100,5,sky is clear,LK
Ylivieska,64.0729,24.5327,6.93,8.19,77,88,overcast clouds,FI
Xacmaz,41.4635,48.806,34.25,3.71,100,92,light rain,AZ
Kaitangata,-46.2818,169.8464,71.33,4.38,90,20,few clouds,NZ
Moyamba,8.1593,-12.4314,75.92,5.39,74,0,Sky is Clear,SL
Otofuke,43.0174,143.203,29.5,17.22,74,75,broken clouds,JP
Sitka,37.175,-99.6516,34.47,17.25,46,48,scattered clouds,US
Chara,39.4167,22.4309,41.0,3.36,93,20,few clouds,GR
Kinkala,-4.347,14.7549,78.8,2.24,78,56,broken clouds,CG
Kreminna,49.0463,38.2179,17.37,3.15,88,20,few clouds,UA
Grand Gaube,-20.0064,57.6608,77.0,4.7,88,75,broken clouds,MU
Mehamn,71.035,27.8517,-3.47,5.61,100,0,Sky is Clear,NO
Ikungi,-5.1346,34.7713,63.95,8.08,90,56,broken clouds,TZ
Awjilah,29.1403,21.2975,51.03,12.33,37,56,broken clouds,LY
Port-Gentil,-0.7194,8.7815,80.87,5.95,98,64,light rain,GA
Naustdal,61.5094,5.7154,30.2,11.41,92,88,overcast clouds,NO
Iquitos,-3.749,-73.2459,78.8,4.72,88,40,scattered clouds,PE
Ulladulla,-35.3622,150.4752,86.0,9.17,58,0,Sky is Clear,AU
Tiznit,29.6986,-9.7313,49.77,3.27,91,0,Sky is Clear,MA
Kalmunai,7.4167,81.8167,66.38,5.17,96,0,Sky is Clear,LK
Airai,-8.9266,125.4092,76.32,1.92,79,44,light rain,TL
Sacramento,38.5816,-121.4944,59.2,3.38,67,1,haze,US
Port Blair,11.6667,92.75,82.22,12.66,100,0,Sky is Clear,IN
Gazojak,41.1875,61.4036,40.73,2.93,84,92,overcast clouds,TM
